percobaan_1,percobaan_2,percobaan_3,percobaan_4,percobaan_5
1.00926, 1.05026, 1.05219, 1.04576, 1.0526
1.0004, 1.05292, 1.05236, 1.04314, 1.05643
1.005, 1.05612, 1.0519, 1.04148, 1.0615
1.016, 1.05897, 1.05534, 1.0418, 1.06651
1.01389, 1.06263, 1.06103, 1.04277, 1.0725
1.01197, 1.06785, 1.06838, 1.04336, 1.07806
1.01674, 1.06952, 1.0763, 1.04585, 1.08217
1.02168, 1.0759, 1.08073, 1.05081, 1.08698
1.02722, 1.07948, 1.08613, 1.05431, 1.09311
1.03364, 1.08329, 1.09188, 1.05741, 1.09913
1.04011, 1.0879, 1.09826, 1.06056, 1.10421
1.0461, 1.09404, 1.11015, 1.06463, 1.10863
1.05335, 1.09973, 1.11564, 1.06653, 1.11409
1.06091, 1.10468, 1.12212, 1.06616, 1.11923
1.06786, 1.11094, 1.12665, 1.07094, 1.12379
1.07441, 1.11557, 1.13431, 1.07608, 1.12863
1.08063, 1.12157, 1.138, 1.08102, 1.13351
1.08734, 1.12658, 1.14464, 1.08678, 1.13694
1.09413, 1.1325, 1.15381, 1.0924, 1.1424
1.10108, 1.13871, 1.15819, 1.09957, 1.14769
1.11135, 1.14463, 1.15975, 1.1076, 1.1533
1.1177, 1.1504, 1.1692, 1.11305, 1.15836
1.12283, 1.15435, 1.17626, 1.12042, 1.16463
1.12728, 1.15813, 1.18397, 1.12726, 1.16841
1.13231, 1.16234, 1.18611, 1.13195, 1.1722
1.13774, 1.16893, 1.18991, 1.13614, 1.17681
1.14332, 1.17391, 1.19686, 1.1417, 1.18111
1.15542, 1.17963, 1.20425, 1.14645, 1.18556
1.15146, 1.18471, 1.20934, 1.15187, 1.19015
1.18845, 1.19135, 1.21279, 1.15749, 1.1937
