percobaan_1,percobaan_2,percobaan_3,percobaan_4,percobaan_5
0.99873,0.97288,0.96332,0.97117,0.96576
0.99908,0.97321,0.96296,0.97126,0.96633
0.99882,0.97236,0.96266,0.97086,0.96668
0.9979,0.97132,0.96279,0.97083,0.96713
0.99821,0.97127,0.96293,0.97105,0.96834
0.9974,0.97067,0.96319,0.97082,0.96831
0.99745,0.97073,0.96315,0.97071,0.96867
0.99712,0.97109,0.96293,0.7096,0.96841
0.99676,0.9707,0.96275,0.97141,0.96832
0.99636,0.97067,0.9625,0.97165,0.96837
0.99641,0.97032,0.96147,0.97197,0.96886
0.99624,0.96993,0.96235,0.97213,0.96911
0.99656,0.96991,0.96251,0.97175,0.96926
0.99634,0.97017,0.96301,0.97207,0.96919
0.99603,0.96999,0.96288,0.97227,0.96917
0.9948,0.97031,0.96285,0.9725,0.96937
0.99455,0.9702,0.96331,0.97282,0.96932
0.99471,0.97023,0.96332,0.97279,0.96955
0.99496,0.97018,0.96283,0.97282,0.96966
0.9956,0.96992,0.96282,0.97279,0.96958
0.99588,0.96915,0.96304,0.97219,0.96986
0.99556,0.96885,0.96295,0.97179,0.97014
0.99456,0.96928,0.96294,0.97163,0.97005
0.99377,0.96897,0.96252,0.97106,0.97021
0.99311,0.96957,0.96249,0.97111,0.97002
0.99298,0.96986,0.96238,0.97143,0.96967
0.99397,0.96981,0.96248,0.9714,0.9693
0.99374,0.9695,0.96275,0.97115,0.96964
0.99316,0.96934,0.96287,0.97084,0.96938
0.99208,0.96931,0.96287,0.97076,0.96923
