percobaan_1,percobaan_2,percobaan_3,percobaan_4,percobaan_5
1.04,1.08,1.02,1.08,1.01
1.06,1.15,1.17,1.19,1.12
1.06,1.2,1.23,1.25,1.28
1.06,1.25,1.23,1.38,1.37
1.12,1.3,1.25,1.36,1.38
1.18,1.32,1.28,1.43,1.49
1.11,1.34,1.3,1.44,1.49
1.13,1.38,1.3,1.46,1.51
1.15,1.41,1.31,1.49,1.53
1.18,1.48,1.33,1.5,1.55
1.24,1.55,1.38,1.51,1.55
1.27,1.61,1.44,1.52,1.54
1.31,1.63,1.51,1.54,1.57
1.33,1.62,1.57,1.59,1.61
1.36,1.61,1.62,1.64,1.62
1.39,1.59,1.65,1.69,1.65
1.41,1.59,1.69,1.74,1.68
1.45,1.61,1.72,1.78,1.71
1.49,1.65,1.75,1.82,1.74
1.52,1.72,1.79,1.85,1.73
1.57,1.79,1.82,1.88,1.73
1.62,1.84,1.84,1.91,1.74
1.66,1.88,1.86,1.94,1.76
1.69,1.91,1.87,1.95,1.79
1.72,1.92,1.9,1.95,1.82
1.75,1.94,1.91,1.95,1.85
1.77,1.94,1.93,1.94,1.88
1.79,1.95,1.95,1.94,1.9
1.8,1.95,1.95,1.94,1.94
1.82,1.96,1.96,1.94,1.96
