percobaan_1,percobaan_2,percobaan_3,percobaan_4,percobaan_5
1.13,1.08,1.14,1.08,1.09
1.16,1.16,1.24,1.26,1.16
1.28,1.22,1.33,1.36,1.21
1.26,1.26,1.37,1.31,1.25
1.27,1.28,1.38,1.35,1.28
1.31,1.31,1.39,1.49,1.3
1.35,1.32,1.4,1.54,1.31
1.38,1.32,1.41,1.56,1.32
1.4,1.35,1.39,1.57,1.33
1.43,1.36,1.43,1.58,1.33
1.46,1.37,1.47,1.58,1.34
1.5,1.37,1.5,1.59,1.35
1.53,1.37,1.53,1.6,1.35
1.55,1.37,1.56,1.61,1.36
1.57,1.36,1.56,1.62,1.36
1.6,1.36,1.57,1.63,1.37
1.63,1.36,1.58,1.63,1.38
1.66,1.36,1.6,1.63,1.38
1.7,1.37,1.61,1.64,1.39
1.72,1.37,1.61,1.64,1.39
1.75,1.38,1.62,1.65,1.39
1.76,1.39,1.62,1.66,1.4
1.78,1.41,1.62,1.67,1.4
1.8,1.42,1.62,1.69,1.41
1.81,1.43,1.62,1.7,1.42
1.83,1.45,1.62,1.71,1.42
1.85,1.47,1.63,1.73,1.44
1.86,1.49,1.64,1.74,1.45
1.88,1.5,1.65,1.75,1.46
1.9,1.52,1.66,1.77,1.48
