percobaan_1,percobaan_2,percobaan_3,percobaan_4,percobaan_5
0.9725, 0.874, 0.85741, 0.86236, 0.84709
0.97216, 0.87401, 0.85739, 0.86224, 0.84689
0.97197, 0.874, 0.85734, 0.86215, 0.84665
0.97161, 0.87395, 0.8574, 0.86201, 0.8464
0.97119, 0.87392, 0.85736, 0.86182, 0.84619
0.71, 0.87384, 0.85736, 0.8617, 0.84606
0.97017, 0.87381, 0.85731, 0.86151, 0.84583
0.96957, 0.87373, 0.85724, 0.86132, 0.8457
0.96901, 0.87366, 0.85727, 0.86109, 0.84552
0.96839, 0.87359, 0.8574, 0.86093, 0.84526
0.96768, 0.87348, 0.85753, 0.86085, 0.84508
0.96733, 0.87345, 0.85773, 0.86072, 0.84489
0.96672, 0.87332, 0.85797, 0.8605, 0.84467
0.96605, 0.87322, 0.85818, 0.86034, 0.8445
0.96542, 0.87311, 0.85849, 0.86016, 0.8443
0.96473, 0.87304, 0.85883, 0.85997, 0.84407
0.96409, 0.87291, 0.8592, 0.8598, 0.84383
0.96343, 0.87282, 0.85968, 0.85968, 0.84368
0.96278, 0.87272, 0.86018, 0.85947, 0.84353
0.9621, 0.87261, 0.86065, 0.85928, 0.84331
0.96143, 0.87251, 0.86115, 0.85911, 0.84307
0.9608, 0.87237, 0.86167, 0.8589, 0.84288
0.96028, 0.87222, 0.86206, 0.85872, 0.84269
0.95988, 0.87212, 0.86244, 0.85857, 0.84254
0.95963, 0.87199, 0.86273, 0.85835, 0.84235
0.95954, 0.87189, 0.86315, 0.85817, 0.84213
0.95945, 0.8718, 0.86351, 0.85795, 0.84197
0.95932, 0.87164, 0.86388, 0.85782, 0.8418
0.927, 0.87146, 0.86421, 0.85761, 0.84164
0.95927, 0.87131, 0.86455, 0.85742, 0.84144
