percobaan_1,percobaan_2,percobaan_3,percobaan_4,percobaan_5
1.03282, 1.05909, 1.02811, 1.05364, 1.05102
1.06859, 1.0588, 1.07254, 1.05963, 1.05441
1.10668, 1.05788, 1.11855, 1.06548, 1.05823
1.1283, 1.05876, 1.14075, 1.07159, 1.06239
1.13628, 1.06032, 1.15671, 1.07771, 1.06705
1.14118, 1.0614, 1.17282, 1.08406, 1.07186
1.14584, 1.06903, 1.19076, 1.09063, 1.07701
1.15008, 1.07132, 1.20771, 1.0973, 1.08245
1.15404, 1.074, 1.22404, 1.1039, 1.08812
1.15732, 1.07598, 1.24082, 1.11131, 1.0939
1.16312, 1.07872, 1.25511, 1.1177, 1.09979
1.16738, 1.08206, 1.26843, 1.12468, 1.10585
1.17116, 1.0864, 1.28102, 1.1317, 1.11216
1.17281, 1.09062, 1.294, 1.13878, 1.11873
1.17537, 1.09522, 1.30565, 1.14625, 1.12519
1.17834, 1.10036, 1.31699, 1.1534, 1.13171
1.18223, 1.10562, 1.32695, 1.16041, 1.13826
1.18675, 1.11114, 1.33801, 1.16719, 1.14478
1.19172, 1.11641, 1.35268, 1.17343, 1.15149
1.1958, 1.12202, 1.36749, 1.18017, 1.15825
1.19974, 1.12748, 1.37782, 1.18719, 1.16507
1.2047, 1.13289, 1.38722, 1.19455, 1.17172
1.2074, 1.13876, 1.39569, 1.20134, 1.17855
1.21348, 1.1447, 1.40394, 1.20805, 1.18556
1.2184, 1.15083, 1.41375, 1.21511, 1.19248
1.22342, 1.15722, 1.42631, 1.22273, 1.20011
1.22836, 1.163, 1.43899, 1.23045, 1.20824
1.23216, 1.16894, 1.4487, 1.23953, 1.21501
1.23771, 1.17474, 1.45905, 1.24664, 1.22145
1.24415, 1.18071, 1.47021, 1.25332, 1.22806
